pressure[hPa],height[m],Temperature[degC],Dewpoint[degC],Relative Humidity[%],Environmental Mixing Ratio[g/kg],Wind Direction[deg],Wind Speed[kt],Theta[K],ThetaE[K],ThetaV[K],Parcel Temperature [degC],Saturation Mixing Ratio for the Parcel [unit-less],U Wind Component,V Wind Component,Parcel-Environment Temperature Difference [degC],Environmental Virtual Temperature [degC],Parcel Virtual Temperature [degC],CAPE [J/kg],CIN [J/kg]
44.5,21295,-62.3,-74.3,19.0,0.04,311.0,1.0,513.0,513.3,513.1,-124.01567990394891,9.259760061806978e-10,,,-61.71567990394891,210.85514474,149.13432018028888,,
44.2,21336,-62.1,-74.1,19.0,0.04,320.0,1.0,514.5,514.8,514.5,-124.30307993163272,8.547315196365567e-10,,,-62.20307993163274,211.05514961999998,148.84692014597397,,
40.7,21850,-59.7,-71.7,19.0,0.06,335.0,2.0,532.8,533.2,532.8,-127.67233280267638,3.2482224950298937e-10,,,-67.97233280267639,213.45781227,145.47766722614875,,
36.9,22462,-60.7,-72.7,19.0,0.06,353.0,4.0,545.4,545.8,545.4,-131.55503085698413,9.877950271034323e-11,,,-70.85503085698414,212.45777567,141.59496915154773,,
34.1,22958,-56.7,-70.7,15.0,0.08,7.0,6.0,568.3,568.9,568.3,-134.62636909011306,3.614498469577914e-11,,,-77.92636909011307,216.46056276000002,138.52363091294114,,
30.0,23770,-56.7,-70.7,15.0,0.09,30.0,8.0,589.5,590.2,589.5,-139.38740566862754,6.7424143001423035e-12,,,-82.68740566862755,216.461883105,133.7625943319226,,
27.2,24384,-56.5,-70.5,16.0,0.1,20.0,10.0,606.5,607.4,606.5,-142.95618456321546,1.7151695245443646e-12,,,-86.45618456321546,216.66321564999998,130.19381543692074,,
26.4,24579,-56.5,-70.5,16.0,0.11,12.0,10.0,612.0,612.9,612.0,-144.05079509120927,1.1033443124308635e-12,,,-87.55079509120927,216.664537215,129.0992049088776,,
24.2,25134,-53.3,-69.3,13.0,0.14,348.0,10.0,636.6,637.9,636.7,-147.12611645396356,3.026329035946607e-13,,,-93.82611645396355,219.86877518999995,126.02388354605966,,
20.3,26264,-52.9,-69.9,11.0,0.15,299.0,11.0,670.6,672.1,670.7,-152.9317588768233,2.0622409117691594e-14,,,-100.03175887682329,220.27015287499995,120.2182411231782,,
20.0,26360,-52.5,-69.5,11.0,0.16,295.0,11.0,674.7,676.3,674.8,-153.4396185985532,1.6012487034040048e-14,,,-100.93961859855321,220.67153543999996,119.71038140144793,,
19.1,26659,-50.1,-68.1,10.0,0.21,289.0,11.0,691.1,693.1,691.2,-154.97951857442786,7.303240561365122e-15,,,-104.87951857442786,223.07857270499997,118.17048142557265,,
17.1,27380,-50.9,-69.9,9.0,0.18,276.0,11.0,710.7,712.5,710.8,-158.51667134230067,1.0788047987028271e-15,,,-107.61667134230066,222.27440304999996,114.63332865769938,,
17.0,27432,-50.6,-69.7,9.0,0.19,275.0,11.0,713.2,715.1,713.3,-158.7083011116719,9.67825364896928e-16,,,-108.10830111167189,222.57579354499998,114.44169888832816,,
15.5,28024,-47.5,-67.5,8.0,0.28,272.0,12.0,742.1,745.0,742.3,-161.59482275283546,1.7752355476267857e-16,,,-114.09482275283546,225.68854101999997,111.55517724716452,,
14.8,28346,-48.4,-68.4,8.0,0.26,270.0,12.0,749.7,752.4,749.8,-163.03496123818127,7.261083113004347e-17,,,-114.63496123818126,224.78564534999998,110.11503876181871,,
